Category,Metric,Position,Midterm Rank,Name,Character ID,Value
latest,last_chapter,1,1,MONKEY D. LUFFY,Monkey_D._Luffy,1181
latest,last_chapter,2,3,SANJI,Sanji,1181
latest,last_chapter,3,4,NAMI,Nami,1181
latest,last_chapter,4,21,LOKI,Loki,1181
latest,last_chapter,5,26,FRANKY (CUTTY FLAM),Franky,1181
earliest,last_chapter,1,77,MONET,Monet,759
earliest,last_chapter,2,37,CAVENDISH (HAKUBA),Cavendish,918
earliest,last_chapter,3,46,ENEL,Enel,998
earliest,last_chapter,4,82,CHARLOTTE PEROSPERAW,Charlotte_Perospero,1027
earliest,last_chapter,5,13,DONQUIXOTE ROSINANTE (CORAZŌN),Donquixote_Rosinante,1040
