Category,Metric,Position,Midterm Rank,Name,Character ID,Value
lowest,appearance_count,1,61,JOYBOY,Joy_Boy,3
lowest,appearance_count,2,9,UTA,Uta,4
lowest,appearance_count,3,36,ROCKSTAR,Rockstar,5
lowest,appearance_count,4,98,DEMALO BLACK (FAKE LUFFY),Demalo_Black,6
lowest,appearance_count,5,80,SHUSHU,Chouchou,7
lowest,arc_count,1,63,SAINT MANMAYER GUNKO,Manmayer_Gunko,1
lowest,arc_count,2,9,UTA,Uta,2
lowest,arc_count,3,21,LOKI,Loki,2
lowest,arc_count,4,54,ALBER (KING),King,2
lowest,arc_count,5,56,IZO,Izou,2
lowest,saga_count,1,61,JOYBOY,Joy_Boy,1
lowest,saga_count,2,63,SAINT MANMAYER GUNKO,Manmayer_Gunko,1
lowest,saga_count,3,77,MONET,Monet,1
lowest,saga_count,4,85,VEGAPUNK PUNK-02 LILITH,Lilith,1
lowest,saga_count,5,9,UTA,Uta,2
